timestamp,image_index,image_shape,label_shape,generated_images,duration_seconds,memory_before_mb,memory_after_mb,memory_delta_mb,input_image_mb,generated_images_mb,generated_labels_mb
2026-06-11T16:23:43,88,"(28, 28)","(8,)",20,0.000146,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,89,"(28, 28)","(8,)",20,0.000149,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,90,"(28, 28)","(8,)",20,0.000158,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,91,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,92,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,93,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,94,"(28, 28)","(8,)",20,0.000156,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,95,"(28, 28)","(8,)",20,0.000143,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,96,"(28, 28)","(8,)",20,0.000148,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,97,"(28, 28)","(8,)",20,0.000148,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,98,"(28, 28)","(8,)",20,0.000154,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,99,"(28, 28)","(8,)",20,0.000142,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,100,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,101,"(28, 28)","(8,)",20,0.000145,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,102,"(28, 28)","(8,)",20,0.000143,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,103,"(28, 28)","(8,)",20,0.000146,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,104,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
